Table 210-06402 : Unemployed persons and unemployment rate by educational attainment and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2)
,,,No. ('000),(%),No. ('000),(%),No. ('000),(%)
Year / Moving 3-month period,,Educational attainment (3),,,,,,
2017,,Primary and below,6.2,3.8,3.9,2.2,10.1,3.0
2017,,Secondary,37.4,3.6,30.9,3.0,68.3,3.3
2017,,Post-secondary (4),24.0,3.0,21.2,2.8,45.2,2.9
2017,,Overall,67.6,3.4,56.0,2.9,123.6,3.1
2018,,Primary and below,6.1,3.9,2.9,1.7,9.0,2.8
2018,,Secondary,35.1,3.4,24.1,2.3,59.2,2.9
2018,,Post-secondary (4),22.9,2.7,21.0,2.7,44.0,2.7
2018,,Overall,64.1,3.2,48.0,2.4,112.1,2.8
2019,,Primary and below,6.5,4.2,2.9,1.6,9.3,2.8
2019,,Secondary,36.7,3.7,22.4,2.2,59.1,3.0
2019,,Post-secondary (4),27.2,3.2,20.7,2.5,47.9,2.9
2019,,Overall,70.4,3.5,45.9,2.3,116.3,2.9
2020,,Primary and below,12.9,8.8,7.3,4.1,20.2,6.2
2020,,Secondary,75.5,8.0,46.7,4.9,122.2,6.4
2020,,Post-secondary (4),46.1,5.4,39.1,4.7,85.2,5.0
2020,,Overall,134.5,6.9,93.1,4.7,227.6,5.8
2021,,Primary and below,10.3,7.7,6.2,3.6,16.5,5.4
2021,,Secondary,66.2,7.0,42.8,4.5,109.1,5.7
2021,,Post-secondary (4),41.5,4.9,33.2,4.1,74.7,4.5
2021,,Overall,118.0,6.1,82.2,4.2,200.3,5.2
2022,,Primary and below,7.6,6.0,4.7,2.9,12.3,4.2
2022,,Secondary,55.1,6.0,33.8,3.7,88.9,4.8
2022,,Post-secondary (4),33.8,4.0,28.1,3.5,61.9,3.7
2022,,Overall,96.5,5.1,66.6,3.5,163.1,4.3
2023,,Primary and below,3.9,3.4,2.1,1.4,6.0,2.2
2023,,Secondary,35.3,3.8,21.4,2.3,56.7,3.1
2023,,Post-secondary (4),27.1,3.1,22.9,2.7,50.0,2.9
2023,,Overall,66.3,3.5,46.4,2.4,112.7,2.9
1/2017 - 3/2017,,Primary and below,8.0,4.8,3.4,1.9,11.4,3.2
1/2017 - 3/2017,,Secondary,40.6,3.9,30.2,3.0,70.8,3.5
1/2017 - 3/2017,,Post-secondary (4),22.9,2.9,21.7,2.9,44.5,2.9
1/2017 - 3/2017,,Overall,71.4,3.6,55.3,2.8,126.7,3.2
4/2017 - 6/2017,,Primary and below,6.5,4.1,4.4,2.4,10.9,3.2
4/2017 - 6/2017,,Secondary,39.7,3.8,32.2,3.2,71.9,3.5
4/2017 - 6/2017,,Post-secondary (4),23.7,3.0,19.2,2.6,42.9,2.8
4/2017 - 6/2017,,Overall,69.9,3.5,55.9,2.9,125.7,3.2
7/2017 - 9/2017,,Primary and below,5.5,3.2,4.1,2.3,9.5,2.8
7/2017 - 9/2017,,Secondary,37.6,3.6,28.9,2.8,66.5,3.2
7/2017 - 9/2017,,Post-secondary (4),27.8,3.4,25.6,3.4,53.4,3.4
7/2017 - 9/2017,,Overall,70.9,3.5,58.5,3.0,129.4,3.3
10/2017 - 12/2017,,Primary and below,4.7,2.9,3.7,2.1,8.5,2.5
10/2017 - 12/2017,,Secondary,32.7,3.2,28.4,2.8,61.1,3.0
10/2017 - 12/2017,,Post-secondary (4),22.1,2.7,18.3,2.4,40.4,2.5
10/2017 - 12/2017,,Overall,59.6,3.0,50.4,2.6,110.0,2.8
1/2018 - 3/2018,,Primary and below,6.6,4.2,2.9,1.6,9.5,2.8
1/2018 - 3/2018,,Secondary,35.8,3.5,24.7,2.4,60.5,3.0
1/2018 - 3/2018,,Post-secondary (4),23.5,2.8,18.0,2.3,41.5,2.6
1/2018 - 3/2018,,Overall,66.0,3.3,45.6,2.3,111.5,2.8
4/2018 - 6/2018,,Primary and below,4.7,3.1,3.5,2.1,8.2,2.6
4/2018 - 6/2018,,Secondary,36.2,3.5,24.5,2.4,60.7,3.0
4/2018 - 6/2018,,Post-secondary (4),22.8,2.7,20.8,2.7,43.5,2.7
4/2018 - 6/2018,,Overall,63.7,3.2,48.8,2.5,112.4,2.8
7/2018 - 9/2018,,Primary and below,6.6,4.2,3.3,2.0,9.9,3.1
7/2018 - 9/2018,,Secondary,33.4,3.3,22.7,2.2,56.0,2.7
7/2018 - 9/2018,,Post-secondary (4),26.4,3.1,25.5,3.2,51.9,3.2
7/2018 - 9/2018,,Overall,66.4,3.3,51.4,2.6,117.9,2.9
10/2018 - 12/2018,,Primary and below,6.5,4.1,2.6,1.5,9.1,2.7
10/2018 - 12/2018,,Secondary,35.9,3.6,21.6,2.1,57.5,2.8
10/2018 - 12/2018,,Post-secondary (4),20.2,2.4,19.2,2.4,39.4,2.4
10/2018 - 12/2018,,Overall,62.7,3.1,43.3,2.2,106.0,2.7
1/2019 - 3/2019,,Primary and below,7.1,4.4,2.2,1.2,9.3,2.7
1/2019 - 3/2019,,Secondary,36.2,3.6,21.5,2.1,57.7,2.9
1/2019 - 3/2019,,Post-secondary (4),25.4,3.0,17.9,2.2,43.2,2.6
1/2019 - 3/2019,,Overall,68.6,3.4,41.5,2.1,110.2,2.8
4/2019 - 6/2019,,Primary and below,5.6,3.6,2.6,1.4,8.2,2.4
4/2019 - 6/2019,,Secondary,37.2,3.8,23.3,2.3,60.6,3.0
4/2019 - 6/2019,,Post-secondary (4),26.4,3.1,19.1,2.4,45.4,2.7
4/2019 - 6/2019,,Overall,69.2,3.5,45.0,2.2,114.2,2.9
7/2019 - 9/2019,,Primary and below,5.3,3.7,2.5,1.4,7.8,2.4
7/2019 - 9/2019,,Secondary,36.3,3.7,23.2,2.3,59.5,3.0
7/2019 - 9/2019,,Post-secondary (4),27.9,3.2,24.7,3.0,52.6,3.1
7/2019 - 9/2019,,Overall,69.5,3.5,50.4,2.5,119.9,3.0
10/2019 - 12/2019,,Primary and below,8.5,5.4,4.1,2.3,12.6,3.7
10/2019 - 12/2019,,Secondary,38.5,4.0,21.2,2.1,59.6,3.1
10/2019 - 12/2019,,Post-secondary (4),28.3,3.3,23.5,2.9,51.8,3.1
10/2019 - 12/2019,,Overall,75.3,3.8,48.7,2.5,124.1,3.1
1/2020 - 3/2020,,Primary and below,8.5,6.0,5.2,2.9,13.7,4.3
1/2020 - 3/2020,,Secondary,55.8,5.9,35.6,3.7,91.4,4.8
1/2020 - 3/2020,,Post-secondary (4),33.1,3.9,27.8,3.3,61.0,3.6
1/2020 - 3/2020,,Overall,97.4,5.0,68.7,3.5,166.1,4.2
4/2020 - 6/2020,,Primary and below,15.6,10.5,9.3,5.1,24.9,7.5
4/2020 - 6/2020,,Secondary,82.5,8.8,52.5,5.5,134.9,7.1
4/2020 - 6/2020,,Post-secondary (4),43.1,5.1,40.0,4.8,83.0,4.9
4/2020 - 6/2020,,Overall,141.2,7.3,101.8,5.2,242.9,6.2
7/2020 - 9/2020,,Primary and below,15.0,10.1,8.5,4.7,23.5,7.1
7/2020 - 9/2020,,Secondary,80.9,8.7,47.4,5.0,128.3,6.8
7/2020 - 9/2020,,Post-secondary (4),56.3,6.5,47.4,5.7,103.7,6.1
7/2020 - 9/2020,,Overall,152.2,7.8,103.3,5.3,255.5,6.5
10/2020 - 12/2020,,Primary and below,12.8,8.9,6.1,3.4,18.9,5.9
10/2020 - 12/2020,,Secondary,82.5,8.7,49.2,5.2,131.7,6.9
10/2020 - 12/2020,,Post-secondary (4),52.7,6.1,42.6,5.2,95.3,5.7
10/2020 - 12/2020,,Overall,148.0,7.6,97.9,5.0,245.9,6.3
1/2021 - 3/2021,,Primary and below,15.5,11.3,11.3,6.3,26.7,8.5
1/2021 - 3/2021,,Secondary,87.1,9.2,57.1,6.0,144.2,7.6
1/2021 - 3/2021,,Post-secondary (4),49.7,5.8,40.2,4.9,89.9,5.4
1/2021 - 3/2021,,Overall,152.3,7.9,108.6,5.6,260.9,6.7
4/2021 - 6/2021,,Primary and below,10.7,8.2,6.2,3.7,16.9,5.6
4/2021 - 6/2021,,Secondary,71.6,7.5,48.7,5.0,120.3,6.3
4/2021 - 6/2021,,Post-secondary (4),45.5,5.4,31.8,3.9,77.3,4.6
4/2021 - 6/2021,,Overall,127.7,6.6,86.8,4.4,214.5,5.5
7/2021 - 9/2021,,Primary and below,8.5,6.5,4.3,2.5,12.8,4.2
7/2021 - 9/2021,,Secondary,57.2,6.1,34.3,3.6,91.5,4.8
7/2021 - 9/2021,,Post-secondary (4),40.3,4.7,36.3,4.5,76.7,4.6
7/2021 - 9/2021,,Overall,106.0,5.5,75.0,3.8,181.0,4.7
10/2021 - 12/2021,,Primary and below,5.8,4.3,3.3,2.0,9.1,3.0
10/2021 - 12/2021,,Secondary,46.5,5.0,31.1,3.2,77.6,4.1
10/2021 - 12/2021,,Post-secondary (4),31.9,3.8,26.6,3.3,58.5,3.5
10/2021 - 12/2021,,Overall,84.2,4.4,61.0,3.2,145.2,3.8
1/2022 - 3/2022,,Primary and below,10.6,8.2,6.8,4.0,17.4,5.8
1/2022 - 3/2022,,Secondary,68.1,7.4,41.4,4.5,109.6,5.9
1/2022 - 3/2022,,Post-secondary (4),34.0,4.1,28.1,3.4,62.1,3.8
1/2022 - 3/2022,,Overall,112.7,6.0,76.3,4.0,189.1,5.0
4/2022 - 6/2022,,Primary and below,7.8,6.1,6.6,4.1,14.4,5.0
4/2022 - 6/2022,,Secondary,62.7,6.7,40.0,4.4,102.7,5.6
4/2022 - 6/2022,,Post-secondary (4),33.3,4.0,29.9,3.7,63.2,3.9
4/2022 - 6/2022,,Overall,103.8,5.5,76.4,4.1,180.2,4.8
7/2022 - 9/2022,,Primary and below,5.0,4.0,2.8,1.8,7.8,2.7
7/2022 - 9/2022,,Secondary,52.9,5.7,29.5,3.2,82.4,4.5
7/2022 - 9/2022,,Post-secondary (4),36.2,4.2,32.0,3.8,68.2,4.0
7/2022 - 9/2022,,Overall,94.1,4.9,64.3,3.4,158.4,4.2
10/2022 - 12/2022,,Primary and below,5.6,4.3,2.6,1.6,8.1,2.8
