Table 210-06103 : Unemployment rate and underemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2)
,,,(%),(%),(%),(%),(%),(%)
Year / Moving 3-month period,,Age group,,,,,,
1/2018 - 3/2018,,60 and over,2.5,1.7,1.2,0.4,2,1.3
4/2018 - 6/2018,,15 - 19,12.8,[*7],11.8,[*7],12.2,1.6
4/2018 - 6/2018,,20 - 29,6.2,1.4,4.5,0.8,5.3,1.1
4/2018 - 6/2018,,30 - 39,2.4,1,1.8,0.3,2.1,0.6
4/2018 - 6/2018,,40 - 49,2.6,1.2,1.8,0.5,2.2,0.8
4/2018 - 6/2018,,50 - 59,2.9,2.1,2.1,0.9,2.5,1.6
4/2018 - 6/2018,,60 and over,1.7,1.6,2,0.6,1.8,1.3
7/2018 - 9/2018,,15 - 19,12.3,[*7],9.3,[*7],10.6,[*7]
7/2018 - 9/2018,,20 - 29,7.3,2.7,5.5,1,6.3,1.8
7/2018 - 9/2018,,30 - 39,2.2,1.4,1.5,0.3,1.8,0.8
7/2018 - 9/2018,,40 - 49,2.5,1.5,2.1,0.3,2.3,0.9
7/2018 - 9/2018,,50 - 59,2.5,2.2,2,0.6,2.3,1.5
7/2018 - 9/2018,,60 and over,2.3,1.4,1.7,0.5,2.1,1.1
10/2018 - 12/2018,,15 - 19,10.9,[*7],7.1,[*7],9,[*7]
10/2018 - 12/2018,,20 - 29,6.1,2.2,3.9,0.8,5,1.5
10/2018 - 12/2018,,30 - 39,2.2,1.3,1.5,0.4,1.8,0.8
10/2018 - 12/2018,,40 - 49,2.3,1.3,1.9,0.5,2.1,0.9
10/2018 - 12/2018,,50 - 59,3,1.7,2,1,2.5,1.4
10/2018 - 12/2018,,60 and over,2.1,1.8,1.3,0.4,1.9,1.4
1/2019 - 3/2019,,15 - 19,7.4,[*7],7.8,[*7],7.6,[*7]
1/2019 - 3/2019,,20 - 29,6.6,1.8,3.5,0.7,5,1.2
1/2019 - 3/2019,,30 - 39,2.5,1.1,1.6,0.3,2,0.7
1/2019 - 3/2019,,40 - 49,2.7,1.1,1.7,0.5,2.2,0.8
1/2019 - 3/2019,,50 - 59,3.3,1.8,1.9,0.8,2.6,1.3
1/2019 - 3/2019,,60 and over,2.6,1.2,2,[*7],2.4,0.9
4/2019 - 6/2019,,15 - 19,12.3,[*7],8,[*7],10.1,[*7]
4/2019 - 6/2019,,20 - 29,6.7,1.8,3.8,0.9,5.2,1.3
4/2019 - 6/2019,,30 - 39,2.5,1.2,1.7,0.3,2.1,0.7
4/2019 - 6/2019,,40 - 49,2.7,1.6,2,0.4,2.4,1
4/2019 - 6/2019,,50 - 59,3.2,1.9,1.9,0.8,2.6,1.4
4/2019 - 6/2019,,60 and over,2.5,1.1,1.4,0.6,2.1,0.9
7/2019 - 9/2019,,15 - 19,14.4,[*7],9.5,[*7],12.1,[*7]
7/2019 - 9/2019,,20 - 29,7.2,1.8,4.7,0.9,5.9,1.3
7/2019 - 9/2019,,30 - 39,2.7,0.8,2,0.2,2.3,0.5
7/2019 - 9/2019,,40 - 49,2.3,1.6,1.9,0.4,2.1,1
7/2019 - 9/2019,,50 - 59,3,2.1,2.1,0.6,2.6,1.4
7/2019 - 9/2019,,60 and over,2.4,1.6,1.8,0.5,2.2,1.2
10/2019 - 12/2019,,15 - 19,13.4,[*7],7.3,[*7],10.4,2.3
10/2019 - 12/2019,,20 - 29,6.7,1.4,5,0.9,5.8,1.1
10/2019 - 12/2019,,30 - 39,2.8,0.8,1.7,0.2,2.2,0.5
10/2019 - 12/2019,,40 - 49,2.9,1.9,1.7,0.6,2.3,1.2
10/2019 - 12/2019,,50 - 59,3.8,2.2,2.3,1.2,3.1,1.7
10/2019 - 12/2019,,60 and over,3.1,2.1,2,0.9,2.7,1.7
1/2020 - 3/2020,,15 - 19,16.4,[*7],9.4,10.3,12.9,7.3
1/2020 - 3/2020,,20 - 29,7.8,1.9,6,1.8,6.8,1.9
1/2020 - 3/2020,,30 - 39,4,2.2,2.3,1.2,3,1.7
1/2020 - 3/2020,,40 - 49,4.5,2.4,3.3,1.6,3.8,2
1/2020 - 3/2020,,50 - 59,4.9,3.2,3.1,2.1,4.1,2.7
1/2020 - 3/2020,,60 and over,4,3.1,3.5,2.5,3.8,2.9
4/2020 - 6/2020,,15 - 19,19.8,[*7],17.5,[*7],18.7,4.2
4/2020 - 6/2020,,20 - 29,11.7,4.6,8.3,4.7,9.9,4.7
4/2020 - 6/2020,,30 - 39,6,3.8,3.7,2.4,4.7,3
4/2020 - 6/2020,,40 - 49,5.6,3.8,4.2,3,4.8,3.4
4/2020 - 6/2020,,50 - 59,7.7,4.6,5.7,3,6.7,3.9
4/2020 - 6/2020,,60 and over,6.5,4.7,4.7,4.1,5.9,4.5
7/2020 - 9/2020,,15 - 19,29.2,[*7],22.9,6.8,26,5.1
7/2020 - 9/2020,,20 - 29,13.8,4.6,10.1,3.7,11.9,4.2
7/2020 - 9/2020,,30 - 39,5.9,3.9,3.7,2.4,4.7,3.1
7/2020 - 9/2020,,40 - 49,5.7,4.1,4.1,3.1,4.9,3.6
7/2020 - 9/2020,,50 - 59,8.4,5.2,4.9,4.7,6.7,4.9
7/2020 - 9/2020,,60 and over,5.9,4.3,4.1,3.2,5.3,3.9
10/2020 - 12/2020,,15 - 19,22.5,[*7],12.7,[*7],17.9,4
10/2020 - 12/2020,,20 - 29,13.8,3.8,8.7,3.7,11.2,3.7
10/2020 - 12/2020,,30 - 39,4.8,3.4,4.1,1.8,4.4,2.5
10/2020 - 12/2020,,40 - 49,6.2,4.1,3.7,2.2,4.9,3.1
10/2020 - 12/2020,,50 - 59,8.2,4.7,4.8,3.6,6.6,4.2
10/2020 - 12/2020,,60 and over,5.9,4.3,4.7,4.1,5.5,4.2
1/2021 - 3/2021,,15 - 19,19.1,7,13.1,9.2,16.3,8
1/2021 - 3/2021,,20 - 29,10.7,4.6,8.1,3.6,9.3,4.1
1/2021 - 3/2021,,30 - 39,6,3.4,4.5,2.7,5.2,3
1/2021 - 3/2021,,40 - 49,6.7,4,4.5,2.8,5.5,3.4
1/2021 - 3/2021,,50 - 59,9.1,5.2,6.3,4,7.7,4.6
1/2021 - 3/2021,,60 and over,7.5,4.2,5.1,4.9,6.7,4.4
4/2021 - 6/2021,,15 - 19,22.9,7.9,13.8,[*7],18.1,3.7
4/2021 - 6/2021,,20 - 29,10.8,2.8,6.2,2.1,8.4,2.5
4/2021 - 6/2021,,30 - 39,5.6,2.5,3.1,1.4,4.2,1.9
4/2021 - 6/2021,,40 - 49,5.5,2.7,4.1,1.8,4.7,2.2
4/2021 - 6/2021,,50 - 59,6.4,3.7,5.4,3,5.9,3.3
4/2021 - 6/2021,,60 and over,5.8,2.4,3.5,2.5,4.9,2.5
7/2021 - 9/2021,,15 - 19,18,[*7],15.1,[*7],16.5,[*7]
7/2021 - 9/2021,,20 - 29,10.9,2.8,7.4,1.8,9.1,2.3
7/2021 - 9/2021,,30 - 39,4.3,2.1,2.9,1.3,3.5,1.7
7/2021 - 9/2021,,40 - 49,4.5,2.2,2.8,1.4,3.6,1.7
7/2021 - 9/2021,,50 - 59,4.9,3.1,3.6,2.2,4.3,2.7
7/2021 - 9/2021,,60 and over,3.9,2.6,3,1.7,3.6,2.2
10/2021 - 12/2021,,15 - 19,16.2,[*7],8.8,[*7],11.9,3.1
10/2021 - 12/2021,,20 - 29,7.3,2.7,5,1.2,6.1,2
10/2021 - 12/2021,,30 - 39,3.5,1.8,2.5,0.9,3,1.3
10/2021 - 12/2021,,40 - 49,3.7,1.6,2.8,1.2,3.2,1.4
10/2021 - 12/2021,,50 - 59,4.4,2.7,3.1,1.8,3.7,2.3
10/2021 - 12/2021,,60 and over,3.5,2.1,2.7,1.5,3.2,1.9
1/2022 - 3/2022,,15 - 19,16.5,5.9,12.3,5.9,14.4,5.9
1/2022 - 3/2022,,20 - 29,8.5,3.7,6.1,3.1,7.3,3.4
1/2022 - 3/2022,,30 - 39,4.7,3.8,2.8,1.8,3.7,2.7
1/2022 - 3/2022,,40 - 49,4.9,3,3.6,2.2,4.2,2.5
1/2022 - 3/2022,,50 - 59,6.8,4.4,4.3,2.6,5.6,3.5
1/2022 - 3/2022,,60 and over,5.5,3.7,3.9,3.7,4.9,3.7
4/2022 - 6/2022,,15 - 19,23,[*7],13.5,[*7],18.5,[*7]
4/2022 - 6/2022,,20 - 29,8.4,3.4,6.4,2.2,7.4,2.7
4/2022 - 6/2022,,30 - 39,4.5,2.5,3.1,1.6,3.7,2
4/2022 - 6/2022,,40 - 49,5,2.8,3.6,2.6,4.2,2.7
4/2022 - 6/2022,,50 - 59,5.5,4.9,4.3,3.2,4.9,4.1
4/2022 - 6/2022,,60 and over,4.9,3.6,3.6,3.7,4.5,3.6
7/2022 - 9/2022,,15 - 19,17.4,[*7],15.6,[*7],16.4,[*7]
7/2022 - 9/2022,,20 - 29,9.2,2.8,6.6,1.6,7.9,2.2
7/2022 - 9/2022,,30 - 39,4.1,1.4,2.6,1.3,3.3,1.3
7/2022 - 9/2022,,40 - 49,3.6,2.1,2.3,1.2,2.9,1.6
7/2022 - 9/2022,,50 - 59,4.7,3.1,3.3,1.6,4,2.3
7/2022 - 9/2022,,60 and over,4.2,2,2.6,1.8,3.6,1.9
10/2022 - 12/2022,,15 - 19,11.8,[*7],11.7,[*7],11.7,[*7]
10/2022 - 12/2022,,20 - 29,7.6,1.4,5.1,0.7,6.3,1
10/2022 - 12/2022,,30 - 39,2.9,1.4,1.9,0.8,2.4,1.1
10/2022 - 12/2022,,40 - 49,3.2,1.6,2,0.9,2.6,1.2
10/2022 - 12/2022,,50 - 59,3.9,2.7,2.6,1.4,3.3,2.1
10/2022 - 12/2022,,60 and over,3.2,2.1,2.1,1.6,2.8,1.9
1/2023 - 3/2023,,15 - 19,12.3,[*7],6.9,[*7],9.6,[*7]
1/2023 - 3/2023,,20 - 29,6.7,2.1,4.2,1.2,5.4,1.7
1/2023 - 3/2023,,30 - 39,2.9,1.2,2.1,0.4,2.5,0.8
1/2023 - 3/2023,,40 - 49,2.9,1.8,1.9,0.5,2.4,1.1
1/2023 - 3/2023,,50 - 59,3.9,2.4,2.5,0.8,3.2,1.6
1/2023 - 3/2023,,60 and over,2.7,1.6,1.5,0.6,2.2,1.2
4/2023 - 6/2023,,15 - 19,15,[*7],7.5,[*7],11.2,[*7]
4/2023 - 6/2023,,20 - 29,6.9,1.5,4.4,0.9,5.6,1.2
4/2023 - 6/2023,,30 - 39,3.1,1.1,1.7,0.4,2.3,0.7
4/2023 - 6/2023,,40 - 49,2.8,1.6,2.2,0.6,2.5,1.1
4/2023 - 6/2023,,50 - 59,3.7,1.6,2.1,1,2.9,1.3
4/2023 - 6/2023,,60 and over,2.6,1.5,2.1,0.9,2.4,1.3
7/2023 - 9/2023,,15 - 19,12.2,[*7],10.8,[*7],11.5,1.8
7/2023 - 9/2023,,20 - 29,5.9,1.6,6.4,0.6,6.2,1.1
7/2023 - 9/2023,,30 - 39,2.7,1.2,1.7,0.5,2.2,0.8
7/2023 - 9/2023,,40 - 49,2.8,1,1.8,0.6,2.3,0.8
7/2023 - 9/2023,,50 - 59,3.6,1.8,2,0.6,2.8,1.2
7/2023 - 9/2023,,60 and over,2.4,1.4,2,1.1,2.2,1.3
10/2023 - 12/2023,,15 - 19,10.2,4.4,8.1,[*7],9.2,2.4
10/2023 - 12/2023,,20 - 29,6,1.2,5.5,0.8,5.7,1
10/2023 - 12/2023,,30 - 39,2.9,0.9,1.4,0.4,2.1,0.6
10/2023 - 12/2023,,40 - 49,2.7,1.4,1.7,0.6,2.2,0.9
10/2023 - 12/2023,,50 - 59,3.2,1.7,2,0.7,2.6,1.2
10/2023 - 12/2023,,60 and over,2.4,1.2,1.5,0.9,2.1,1.1
1/2024 - 3/2024,,15 - 19,10.3,[*7],[*7],[*7],8.1,[*7]
1/2024 - 3/2024,,20 - 29,7.2,1.4,5.2,0.7,6.2,1
1/2024 - 3/2024,,30 - 39,2.6,0.8,1.6,0.6,2.1,0.7
1/2024 - 3/2024,,40 - 49,2.9,1.5,1.6,0.5,2.2,1
1/2024 - 3/2024,,50 - 59,3.6,2,2.4,0.6,3,1.3
1/2024 - 3/2024,,60 and over,2.8,1.6,1.5,1.1,2.3,1.4
4/2024 - 6/2024,,15 - 19,9.5,[*7],10,[*7],9.8,[*7]
4/2024 - 6/2024,,20 - 29,6.6,1.3,4.4,1.1,5.5,1.2
4/2024 - 6/2024,,30 - 39,2.9,1,1.9,0.7,2.4,0.8
4/2024 - 6/2024,,40 - 49,3.4,1.7,2.1,0.6,2.7,1.1
4/2024 - 6/2024,,50 - 59,3.6,2.1,2.2,1,2.9,1.6
4/2024 - 6/2024,,60 and over,3.1,1.6,1.4,0.6,2.4,1.2
7/2024 - 9/2024,,15 - 19,16.1 p,"[*7],p",14.3 p,"[*7],p",15.2 p,2.5 p
7/2024 - 9/2024,,20 - 29,7.4 p,2.2 p,5.7 p,1.3 p,6.5 p,1.7 p
7/2024 - 9/2024,,30 - 39,2.4 p,1.3 p,2.2 p,0.5 p,2.3 p,0.9 p
7/2024 - 9/2024,,40 - 49,3.3 p,1.1 p,1.7 p,0.6 p,2.4 p,0.8 p
7/2024 - 9/2024,,50 - 59,3.7 p,2.1 p,2.3 p,1.2 p,2.9 p,1.6 p
7/2024 - 9/2024,,60 and over,2.6 p,1.4 p,2.0 p,0.9 p,2.4 p,1.2 p
 ,,,,,,,,
Note(s):,,,,,,,,
"Starting from 2001, annual figures are compiled based on the survey results of the General Household Survey from January to December of the year concerned as well as the mid-year population estimates.",,,,,,,,
1 Unemployment rate refers to the proportion of unemployed persons in the labour force.,,,,,,,,
2 Underemployment rate refers to the proportion of underemployed persons in the labour force.,,,,,,,,
[*7] Figure is not released due to relatively large sampling error.,,,,,,,,
p Provisional figure,,,,,,,,
 ,,,,,,,,
Source:,,,,,,,,
"General Household Survey Section (3),Census and Statistics Department(Enquiry telephone no. : 2887 5508 Enquiry e-mail : ghs@censtatd.gov.hk)",,,,,,,,
 ,,,,,,,,
"Release Date: 18 October, 2024",,,,,,,,
